TERMS AND CONDITIONS,,,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,,,
,,,,,,,,,
NAME,,,,,,,,,
Consumer Price Index,,,,,,,,,
,,,,,,,,,
DESCRIPTION,,,,,,,,,
"Includes CPI-trim, CPI-median, and CPI-common as well as other “core” inflation measures.",,,,,,,,,
,,,,,,,,,
LINK,,,,,,,,,
date,Total CPI,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW
1/1/1995,86.6,86.6,0.6,1.8,1.8,1.1,,2.2,1.7
2/1/1995,87,87,1.9,1.9,1.8,1.1,,1.8,1.7
3/1/1995,87.2,87.2,2.1,2,1.8,1.3,,2.1,1.9
4/1/1995,87.5,87.4,2.5,2.1,2,1.3,,2.1,2
5/1/1995,87.7,87.7,2.9,2.3,2.1,1.4,,2.5,2.2
6/1/1995,87.7,87.7,2.7,2.2,2.1,1.4,,2.4,2.1
7/1/1995,87.9,87.8,2.6,2.2,2,1.4,,2.5,2.1
8/1/1995,87.7,87.7,2.2,2.1,2,1.4,,2.6,2.1
9/1/1995,87.8,87.8,2.2,2.1,2,1.5,,2.5,2
10/1/1995,87.7,87.8,2.3,2.1,1.9,1.5,,2.5,2
11/1/1995,88,87.9,2.1,1.9,1.7,1.4,,2.3,1.9
12/1/1995,87.8,87.9,1.7,1.7,1.6,1.4,,1.7,1.5
1/1/1996,88,88,1.6,1.5,1.5,1.3,,1.6,1.4
2/1/1996,88.1,88.1,1.3,1.4,1.4,1.3,,1.5,1.3
3/1/1996,88.5,88.5,1.5,1.3,1.3,1.3,,1.5,1.3
4/1/1996,88.7,88.7,1.4,1.2,1.2,1.4,,1.6,1.3
5/1/1996,89,88.9,1.5,1.2,1.2,1.4,,1.6,1.4
6/1/1996,89,88.9,1.5,1.2,1.2,1.4,,1.3,1.4
7/1/1996,89,88.9,1.3,1.2,1.2,1.3,,1.4,1.3
8/1/1996,89,89,1.5,1.1,1.2,1.3,,1.3,1.3
9/1/1996,89.1,89.1,1.5,1.2,1.2,1.4,,1.2,1.4
10/1/1996,89.3,89.4,1.8,1.2,1.3,1.5,,1.3,1.6
11/1/1996,89.7,89.7,1.9,1.3,1.4,1.6,,1.4,1.7
12/1/1996,89.7,89.9,2.2,1.4,1.5,1.6,,1.8,1.9
1/1/1997,89.9,90,2.2,1.4,1.4,1.6,,1.7,1.8
2/1/1997,90.1,90.1,2.3,1.3,1.3,1.6,,1.6,1.7
3/1/1997,90.2,90.2,1.9,1.4,1.3,1.6,,1.8,1.8
4/1/1997,90.2,90.2,1.7,1.3,1.3,1.6,,1.8,1.8
5/1/1997,90.3,90.2,1.5,1.2,1.2,1.6,,1.5,1.7
6/1/1997,90.5,90.3,1.7,1.3,1.2,1.5,,2.1,1.8
7/1/1997,90.5,90.4,1.7,1.1,1.1,1.6,,1.5,1.6
8/1/1997,90.6,90.6,1.8,1.2,1.1,1.6,,1.5,1.7
9/1/1997,90.6,90.6,1.7,1,1,1.5,,1.5,1.5
10/1/1997,90.6,90.6,1.5,1,1,1.5,,1.6,1.5
11/1/1997,90.5,90.5,0.9,0.9,0.9,1.4,,1,1.1
12/1/1997,90.4,90.6,0.8,0.8,0.9,1.4,,0.8,1.1
1/1/1998,90.9,91.1,1.1,1.1,1.1,1.5,,1.1,1.3
2/1/1998,91,91.1,1,1.1,1.2,1.5,,1.4,1.3
3/1/1998,91.1,91.1,1,1,1.1,1.5,,1.2,1.2
4/1/1998,91,91,0.9,0.9,1.1,1.5,,1.1,1.1
5/1/1998,91.3,91.1,1.1,0.9,1.2,1.5,,1.3,1.2
6/1/1998,91.4,91.2,1,0.9,1.1,1.6,,0.9,1.1
7/1/1998,91.4,91.2,1,1.1,1.2,1.6,,1.2,1.2
8/1/1998,91.4,91.3,0.9,1.1,1.2,1.6,,1.3,1.2
9/1/1998,91.2,91.1,0.7,1.1,1.3,1.7,,1.2,1.1
10/1/1998,91.6,91.6,1.1,1.1,1.2,1.7,,1.3,1.2
11/1/1998,91.6,91.6,1.2,1.3,1.4,1.8,,1.3,1.4
12/1/1998,91.3,91.6,1,1.1,1.2,1.7,,1.3,1.2
1/1/1999,91.5,91.8,0.7,1,1.1,1.7,,1,1.2
2/1/1999,91.6,91.8,0.7,1,1.1,1.6,,0.9,1.2
3/1/1999,92,92,1,1.1,1.1,1.6,,1.1,1.3
4/1/1999,92.5,92.5,1.6,1.3,1.2,1.7,,1.4,1.6
5/1/1999,92.7,92.6,1.5,1.3,1.2,1.7,,1.4,1.6
6/1/1999,92.9,92.6,1.6,1.3,1.2,1.6,,1.6,1.5
7/1/1999,93.1,92.8,1.9,1.3,1.2,1.6,,1.5,1.6
8/1/1999,93.3,93.2,2.1,1.3,1.2,1.6,,1.5,1.7
9/1/1999,93.6,93.5,2.6,1.5,1.3,1.6,,1.9,2
10/1/1999,93.7,93.6,2.3,1.5,1.3,1.5,,1.6,1.8
11/1/1999,93.6,93.7,2.2,1.5,1.3,1.5,,1.6,1.6
12/1/1999,93.7,94,2.6,1.6,1.4,1.6,,1.7,1.7
1/1/2000,93.5,94,2.2,1.5,1.3,1.4,1.2,1.5,1.4
2/1/2000,94.1,94.3,2.7,1.6,1.4,1.5,1.3,1.6,1.6
