Date,USD,CAD
11 Oct 2020,1,1.3177
10 Oct 2020,1,1.3177
09 Oct 2020,1,1.3177
08 Oct 2020,1,1.3245
07 Oct 2020,1,1.3288
06 Oct 2020,1,1.3251
05 Oct 2020,1,1.3268
04 Oct 2020,1,1.3302
03 Oct 2020,1,1.3302
02 Oct 2020,1,1.3302
01 Oct 2020,1,1.3288
30 Sep 2020,1,1.3389
29 Sep 2020,1,1.3378
28 Sep 2020,1,1.3385
27 Sep 2020,1,1.3375
26 Sep 2020,1,1.3375
25 Sep 2020,1,1.3375
24 Sep 2020,1,1.3396
23 Sep 2020,1,1.3337
22 Sep 2020,1,1.3314
21 Sep 2020,1,1.3238
20 Sep 2020,1,1.3184
19 Sep 2020,1,1.3184
18 Sep 2020,1,1.3184
17 Sep 2020,1,1.3196
16 Sep 2020,1,1.3167
15 Sep 2020,1,1.3147
14 Sep 2020,1,1.317
13 Sep 2020,1,1.3179
12 Sep 2020,1,1.3179
11 Sep 2020,1,1.3179
10 Sep 2020,1,1.3154
09 Sep 2020,1,1.3219
08 Sep 2020,1,1.3172
07 Sep 2020,1,1.3095
06 Sep 2020,1,1.3096
05 Sep 2020,1,1.3096
04 Sep 2020,1,1.3096
03 Sep 2020,1,1.3114
02 Sep 2020,1,1.3064
01 Sep 2020,1,1.3014
31 Aug 2020,1,1.3066
30 Aug 2020,1,1.3053
29 Aug 2020,1,1.3053
28 Aug 2020,1,1.3053
27 Aug 2020,1,1.3147
26 Aug 2020,1,1.3184
25 Aug 2020,1,1.3202
24 Aug 2020,1,1.3146
23 Aug 2020,1,1.3224
22 Aug 2020,1,1.3224
21 Aug 2020,1,1.3224
20 Aug 2020,1,1.321
19 Aug 2020,1,1.3147
18 Aug 2020,1,1.3163
17 Aug 2020,1,1.3232
16 Aug 2020,1,1.3247
15 Aug 2020,1,1.3247
14 Aug 2020,1,1.3247
13 Aug 2020,1,1.3215
12 Aug 2020,1,1.329
11 Aug 2020,1,1.3287
10 Aug 2020,1,1.338
09 Aug 2020,1,1.3345
08 Aug 2020,1,1.3345
07 Aug 2020,1,1.3345
06 Aug 2020,1,1.3297
05 Aug 2020,1,1.3247
04 Aug 2020,1,1.3407
03 Aug 2020,1,1.3436
02 Aug 2020,1,1.3418
01 Aug 2020,1,1.3418
31 Jul 2020,1,1.3418
30 Jul 2020,1,1.343
29 Jul 2020,1,1.336
28 Jul 2020,1,1.3393
27 Jul 2020,1,1.3375
26 Jul 2020,1,1.342
25 Jul 2020,1,1.342
24 Jul 2020,1,1.342
23 Jul 2020,1,1.3386
22 Jul 2020,1,1.3422
21 Jul 2020,1,1.3457
20 Jul 2020,1,1.3567
19 Jul 2020,1,1.3572
18 Jul 2020,1,1.3572
17 Jul 2020,1,1.3572
16 Jul 2020,1,1.3538
15 Jul 2020,1,1.3568
14 Jul 2020,1,1.3616
13 Jul 2020,1,1.3563
12 Jul 2020,1,1.3601
11 Jul 2020,1,1.3601
10 Jul 2020,1,1.3601
09 Jul 2020,1,1.3502
08 Jul 2020,1,1.359
07 Jul 2020,1,1.3567
06 Jul 2020,1,1.3539
05 Jul 2020,1,1.3572
04 Jul 2020,1,1.3572
03 Jul 2020,1,1.3572
02 Jul 2020,1,1.3595
01 Jul 2020,1,1.3587
30 Jun 2020,1,1.3685
29 Jun 2020,1,1.3656
28 Jun 2020,1,1.3661
27 Jun 2020,1,1.3661
26 Jun 2020,1,1.3661
25 Jun 2020,1,1.3645
24 Jun 2020,1,1.3591
23 Jun 2020,1,1.3491
22 Jun 2020,1,1.3565
21 Jun 2020,1,1.3567
20 Jun 2020,1,1.3567
19 Jun 2020,1,1.3567
18 Jun 2020,1,1.3561
17 Jun 2020,1,1.3536
16 Jun 2020,1,1.3548
15 Jun 2020,1,1.3634
14 Jun 2020,1,1.3577
13 Jun 2020,1,1.3577
12 Jun 2020,1,1.3577
11 Jun 2020,1,1.3501
10 Jun 2020,1,1.3387
09 Jun 2020,1,1.3447
08 Jun 2020,1,1.3404
07 Jun 2020,1,1.3448
06 Jun 2020,1,1.3448
05 Jun 2020,1,1.3448
04 Jun 2020,1,1.3514
03 Jun 2020,1,1.3555
02 Jun 2020,1,1.3519
01 Jun 2020,1,1.3699
31 May 2020,1,1.3721
30 May 2020,1,1.3721
29 May 2020,1,1.3721
28 May 2020,1,1.3757
27 May 2020,1,1.3762
26 May 2020,1,1.3835
25 May 2020,1,1.3988
24 May 2020,1,1.4007
23 May 2020,1,1.4007
22 May 2020,1,1.4007
21 May 2020,1,1.3918
20 May 2020,1,1.3881
19 May 2020,1,1.3928
18 May 2020,1,1.4034
17 May 2020,1,1.4105
16 May 2020,1,1.4105
15 May 2020,1,1.4105
14 May 2020,1,1.4107
13 May 2020,1,1.4017
12 May 2020,1,1.3979
11 May 2020,1,1.3984
10 May 2020,1,1.3943
09 May 2020,1,1.3943
08 May 2020,1,1.3943
07 May 2020,1,1.4075
06 May 2020,1,1.4088
05 May 2020,1,1.4019
04 May 2020,1,1.4065
03 May 2020,1,1.3863
02 May 2020,1,1.3863
01 May 2020,1,1.3863
30 Apr 2020,1,1.3863
29 Apr 2020,1,1.3954
28 Apr 2020,1,1.3955
27 Apr 2020,1,1.4057
26 Apr 2020,1,1.4049
25 Apr 2020,1,1.4049
24 Apr 2020,1,1.4049
23 Apr 2020,1,1.4135
22 Apr 2020,1,1.4148
21 Apr 2020,1,1.4204
20 Apr 2020,1,1.4111
19 Apr 2020,1,1.407
18 Apr 2020,1,1.407
17 Apr 2020,1,1.407
16 Apr 2020,1,1.4106
15 Apr 2020,1,1.406
14 Apr 2020,1,1.3917
13 Apr 2020,1,1.4047
12 Apr 2020,1,1.4047
11 Apr 2020,1,1.4047
10 Apr 2020,1,1.4047
09 Apr 2020,1,1.4047
08 Apr 2020,1,1.4013
07 Apr 2020,1,1.4018
06 Apr 2020,1,1.416
05 Apr 2020,1,1.4185
04 Apr 2020,1,1.4185
03 Apr 2020,1,1.4185
02 Apr 2020,1,1.4167
01 Apr 2020,1,1.4266
31 Mar 2020,1,1.4254
30 Mar 2020,1,1.4162
29 Mar 2020,1,1.414
28 Mar 2020,1,1.414
27 Mar 2020,1,1.414
26 Mar 2020,1,1.4084
25 Mar 2020,1,1.4352
24 Mar 2020,1,1.4494
23 Mar 2020,1,1.4384
22 Mar 2020,1,1.425
21 Mar 2020,1,1.425
20 Mar 2020,1,1.425
19 Mar 2020,1,1.4464
18 Mar 2020,1,1.4404
17 Mar 2020,1,1.4125
16 Mar 2020,1,1.3928
15 Mar 2020,1,1.3859
14 Mar 2020,1,1.3859
13 Mar 2020,1,1.3859
12 Mar 2020,1,1.3811
11 Mar 2020,1,1.3743
10 Mar 2020,1,1.3678
09 Mar 2020,1,1.3629
08 Mar 2020,1,1.342
07 Mar 2020,1,1.342
06 Mar 2020,1,1.342
05 Mar 2020,1,1.3427
04 Mar 2020,1,1.3359
03 Mar 2020,1,1.3364
02 Mar 2020,1,1.3358
